distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
2758              ,0           ,130               ,-5.58439576175431   ,148.613541171369
2757              ,0           ,130               ,-6.15065205929841   ,148.614962401685
2756              ,0           ,130               ,-4.48320641192984   ,148.61526268442
2755              ,0           ,130               ,-4.93122095508751   ,139.037817733094
2754              ,0           ,130               ,-3.87216515157891   ,123.626249976304
2753              ,0           ,130               ,-5.74275601975448   ,145.652658512563
2752              ,0           ,130               ,-1.84789091754399   ,171.376598885058
2751              ,0           ,130               ,-2.24786196666669   ,174.980783644554
2750              ,0           ,130               ,0.687085441052631   ,175.836389691739
2749              ,0           ,130               ,5.52481951870185    ,175.699170647898
2748              ,0           ,130               ,4.57251530771931    ,169.562194828251
2747              ,0           ,130               ,5.19735195438595    ,144.935142218328
2746              ,0           ,130               ,9.64071597017536    ,135.496644945734
2745              ,0           ,130               ,9.73890046385978    ,136.863418224674
2744              ,0           ,130               ,6.82650527473683    ,144.957994808999
2743              ,0           ,110               ,7.4914008891227     ,154.215716942756
2742              ,0           ,110               ,2.54738993754387    ,163.40471169263
2741              ,0           ,110               ,-0.472110850175369  ,167.041259053799
2740              ,0           ,110               ,2.25409543157883    ,148.792438288152
2739              ,0           ,110               ,1.68649214105272    ,126.388849782232
2738              ,0           ,100               ,5.80447139543864    ,120.597146474035
2737              ,0           ,100               ,8.0728945101753     ,140.919875198176
2736              ,0           ,100               ,2.11832667298268    ,142.507420490192
2735              ,0           ,100               ,2.21709501298247    ,142.104073160198
2734              ,0           ,80                ,-1.96378752175457   ,126.603631215878
2733              ,0           ,80                ,-7.51833367228062   ,148.99338432247
2732              ,0           ,80                ,-5.45418466245607   ,132.476903529805
2731              ,0           ,80                ,-4.56989668175436   ,134.753093509099
2730              ,0           ,80                ,-5.63552590842124   ,168.912043875673
2729              ,0           ,80                ,-3.65037878701747   ,140.91080219551
2728              ,0           ,80                ,-5.99351599964925   ,120.634888643165
2727              ,0           ,80                ,-3.0046514477192    ,123.301425455893
2726              ,0           ,80                ,-3.84954812175442   ,118.429847851804
2725              ,0           ,80                ,-3.98260613403494   ,123.427366571048
2724              ,0           ,80                ,-3.79711746982457   ,168.578307154577
2723              ,0           ,110               ,-2.85902661087732   ,159.128624058882
2722              ,0           ,110               ,-1.12717223122806   ,126.344753479162
2721              ,0           ,110               ,-1.301884           ,102.101715190336
2720              ,0           ,110               ,-0.265165723859695  ,106.766787982229
2719              ,0           ,110               ,0.277584876140423   ,149.278335350446
2718              ,0           ,100               ,-2.06779033087713   ,155.551977920238
2717              ,0           ,100               ,-1.41881530877194   ,132.678365926391
2716              ,0           ,100               ,-1.58065147473691   ,121.544106771526
2715              ,0           ,60                ,-2.46590107543855   ,123.932485975493
2714              ,0           ,60                ,-4.1221746550877    ,132.760783507887
2713              ,0           ,60                ,-4.17491643122817   ,139.24694183744
2712              ,0           ,60                ,-3.10810034421051   ,128.900090345564
2711              ,0           ,60                ,-2.79343587428068   ,128.40040545117
2710              ,0           ,60                ,-1.37473262491221   ,112.271804181107
2709              ,0           ,60                ,-0.231758105614063  ,102.937445538063
2708              ,0           ,80                ,1.00925969263159    ,104.321063417386
2707              ,0           ,80                ,1.06260156831577    ,104.629529889709
2706              ,0           ,80                ,0.893773723859681   ,104.299430204669
2705              ,0           ,80                ,1.35721599719295    ,104.113718617436
2704              ,1           ,100               ,0.841023998245589   ,104.487097215381
2703              ,0           ,100               ,1.56046761368415    ,104.030732491145
2702              ,0           ,110               ,2.36490410842111    ,83.9139734686946
2701              ,0           ,110               ,2.54692298000001    ,45.0842916005555
2700              ,0           ,110               ,3.90463371578949    ,76.0811729932631
2699              ,0           ,110               ,4.58014362596496    ,102.995160903847
2698              ,0           ,110               ,4.15453274210518    ,103.234696598458
2697              ,0           ,110               ,4.1872173017544     ,103.23475745728
2696              ,0           ,110               ,3.44633969087727    ,103.564444131143
2695              ,0           ,110               ,2.44377751473681    ,113.615677191035
2694              ,0           ,110               ,2.69259752982447    ,125.95446425481
2693              ,0           ,110               ,4.4602837185966     ,138.919399502028
2692              ,0           ,130               ,5.35832297929815    ,143.955881904964
2691              ,0           ,130               ,7.03704274315788    ,146.935250643767
2690              ,0           ,130               ,9.50058571263156    ,165.992079447411
2689              ,0           ,130               ,6.22664483368419    ,168.165409135581
2688              ,0           ,130               ,2.04403926385973    ,162.746716287606
2687              ,0           ,130               ,-2.30478789438578   ,142.795482648762
2686              ,0           ,130               ,-5.97867537929827   ,124.083881316453
2685              ,0           ,130               ,-3.89389804631597   ,120.930186552756
2684              ,0           ,130               ,-1.34935051263147   ,120.931033138757
2683              ,0           ,130               ,2.35276004842098    ,120.931247164427
2682              ,0           ,130               ,3.55356976877181    ,120.931777742587
2681              ,0           ,130               ,2.32516642947365    ,120.932376609744
2680              ,0           ,130               ,4.25193535894741    ,113.614349873777
2679              ,0           ,130               ,3.57720338631609    ,102.826738343839
2678              ,0           ,130               ,1.72993433298231    ,102.826987621199
2677              ,0           ,130               ,4.08250423824566    ,102.827100183073
2676              ,0           ,130               ,2.86892413403493    ,102.827049085186
2675              ,0           ,130               ,3.07476980491236    ,111.501031800561
2674              ,0           ,130               ,4.18836126175461    ,121.712392313858
2673              ,0           ,130               ,2.49306538947351    ,121.713220477862
2672              ,0           ,130               ,-1.17055675859675   ,121.713540439873
2671              ,0           ,130               ,-3.84941959614034   ,121.714037688945
2670              ,0           ,130               ,-5.90842953087702   ,121.823791279982
2669              ,0           ,130               ,-5.99304826035066   ,121.860990444028
2668              ,0           ,130               ,-4.24776303368446   ,121.86192538448
2667              ,0           ,130               ,-1.34550030315793   ,121.862724500079
2666              ,0           ,130               ,2.09091239614034    ,121.71851792833
2665              ,0           ,130               ,2.33302967403506    ,121.670174685553
2664              ,0           ,130               ,3.20286045614048    ,121.716619824838
2663              ,0           ,130               ,3.56672316842116    ,121.693734021237
2662              ,0           ,130               ,1.33283907649115    ,121.642893187788
2661              ,0           ,130               ,2.85192217719279    ,121.46885553107
2660              ,0           ,130               ,2.25495041859659    ,99.6830685150486
2659              ,0           ,130               ,1.8494849042105     ,117.782882547733
